key_bom,bom_title,bom_budget,bom_worldwide_revenue,revenue
b2240,brooklyn's finest,17000000.0,36440201.0,1.1435412352941177
b2251,brotherhood of the wolf,29000000.0,70752904.0,1.4397553103448275
b2253,brothers,26000000.0,43318349.0,0.6660903461538461
b2260,brown sugar,8000000.0,28316451.0,2.539556375
b2263,bruce almighty,81000000.0,484592874.0,4.982628074074074
b2268,bubble,1600000.0,261966.0,-0.83627125
b2284,buffalo soldiers,15000000.0,354421.0,-0.9763719333333334
b2301,bulletproof monk,52000000.0,37713879.0,-0.27473309615384617
b2315,burlesque,55000000.0,89519773.0,0.6276322363636364
b2319,burn after reading,37000000.0,163720069.0,3.4248667297297297
b2324,burnt,20000000.0,36606743.0,0.83033715
b2347,by the sea,10000000.0,3334927.0,-0.6665073
b2358,chips,25000000.0,24890387.0,-0.00438452
b2366,cabin fever,1500000.0,30553394.0,19.368929333333334
b2373,cadillac records,12000000.0,8880045.0,-0.25999625
b2386,calendar girls,10000000.0,96542059.0,8.6542059
b2410,camp x-ray,1000000.0,13302.0,-0.986698
b2435,capitalism: a love story,20000000.0,17436509.0,-0.12817455
b2437,capote,7000000.0,49233161.0,6.033308714285714
b2439,captain america: civil war,250000000.0,1153304495.0,3.61321798
b2440,captain america: the first avenger,140000000.0,370569774.0,1.646926957142857
b2441,captain america: the winter soldier,170000000.0,714264267.0,3.201554511764706
b2443,captain corelli's mandolin,57000000.0,62112895.0,0.08969991228070176
b2448,captain phillips,55000000.0,218791811.0,2.9780329272727273
b2474,carlito's way,30000000.0,63848322.0,1.1282774
b2475,carlos,18000000.0,871279.0,-0.9515956111111111
b2491,carrie (2013),30000000.0,84790678.0,1.8263559333333332
b2495,cars,120000000.0,462216280.0,2.8518023333333336
b2496,cars 2,200000000.0,562110557.0,1.810552785
b2509,case 39,26000000.0,28189979.0,0.08422996153846155
b2514,casino jack,12500000.0,1083683.0,-0.91330536
b2516,casino royale,150000000.0,599045960.0,2.9936397333333336
b2521,casshern,6000000.0,12353768.0,1.0589613333333334
b2522,cast away,90000000.0,429632142.0,3.773690466666667
b2533,catch me if you can,52000000.0,352114312.0,5.771429076923077
b2535,catch that kid,12000000.0,16930762.0,0.4108968333333333
b2537,catch and release,25000000.0,16158487.0,-0.35366052
b2546,cats &amp; dogs,60000000.0,200687492.0,2.3447915333333333
b2547,cats &amp; dogs: the revenge of kitty galore,85000000.0,112483764.0,0.3233384
b2551,catwoman,100000000.0,82102379.0,-0.17897621
b2567,cellular,25000000.0,56422687.0,1.25690748
b2573,center stage,29000000.0,26385941.0,-0.09013996551724138
b2574,central intelligence,50000000.0,216972543.0,3.33945086
b2576,centurion,12000000.0,6814789.0,-0.43210091666666667
b2589,chain letter,3000000.0,585362.0,-0.8048793333333333
b2605,changeling,55000000.0,113020256.0,1.0549137454545454
b2606,changing lanes,45000000.0,94935764.0,1.1096836444444445
b2611,chappie,49000000.0,102069268.0,1.0830462857142857
b2618,charlie bartlett,12000000.0,5254986.0,-0.5620845
b2628,charlie st. cloud,44000000.0,48190704.0,0.09524327272727273
b2629,charlie wilson's war,75000000.0,119000410.0,0.5866721333333333
b2630,charlie and the chocolate factory,150000000.0,474968763.0,2.16645842
b2631,charlie's angels,93000000.0,264105545.0,1.839844569892473
b2632,charlie's angels: full throttle,120000000.0,259175788.0,1.1597982333333334
b2638,charlotte's web (2006),85000000.0,144877632.0,0.7044427294117647
b2644,chasing liberty,23000000.0,12313323.0,-0.4646381304347826
b2646,chasing mavericks,20000000.0,6003386.0,-0.6998307
