link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=101dalmatians85.htm	101 Dalmatians (Re-issue) (1985)	N/A	33049729	144880014	20-Dec-85	1 hrs. 19 min.	Buena Vista	Animation	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=101dalmatians91.htm	101 Dalmatians (Re-issue) (1991)	N/A	60830285	144880014	12-Jul-91	1 hrs. 19 min.	Buena Vista	Animation	G	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=101reykjavik.htm	101 Reykjavik	N/A	126404		27-Jul-01	1 hrs. 40 min.	Menemsha	Unknown	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=102dalmatians.htm	102 Dalmatians	$85 million	66957026		22-Nov-00	1 hrs. 44 min.	Buena Vista	Family Comedy	G	Nominated for One Oscar.
http://www.boxofficemojo.com/movies/?id=10thandwolf.htm	10th &amp; Wolf	$8 million	54702		18-Aug-06	1 hrs. 50 min.	ThinkFilm	Crime Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=11flowers.htm	11 Flowers	N/A	9213		22-Feb-13	1 hrs. 50 min.	First Run	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=111111.htm	11/11/2011	N/A	32771		11-Nov-11	1 hrs. 22 min.	Rocket Releasing	Horror	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=11thhour15.htm	11th Hour	N/A			12-Jun-15	1 hrs. 37 min.	Brainstorm Media	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=12.htm	12	N/A	125120		4-Mar-09	2 hrs. 39 min.	Sony Classics	Foreign	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=12angrymen.htm	12 Angry Men	N/A			13-Apr-57	1 hrs. 36 min.	United Artists	Drama	Unrated	No Academy Awards Information
