key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date
b2115,w5107,,boys don't cry ,1999,2000000.0,11500000.0,4.75,8-Oct-99
b2122,w5133,o13704,boyz n the hood,1991,6500000.0,57500000.0,7.846153846153847,12-Jul-91
b2131,w5154,o7459,bram stoker's dracula,1992,40000000.0,215900000.0,4.3975,13-Nov-92
b2139,w5202,o20636,braveheart,1995,6570000000.0,210400000.0,-0.9679756468797563,24-May-95
b2148,w5234,,breakfast of champions ,1999,12000000.0,178278.0,-0.9851435,17-Sep-99
b2181,w5322,o18614,bride wars,2009,30000000.0,114700000.0,2.8233333333333333,9-Jan-09
b2182,w5302,,bride and prejudice,2004,7000000.0,24700000.0,2.5285714285714285,11-Feb-05
b2183,w5312,o13502,bride of chucky,1998,25000000.0,50700000.0,1.028,16-Oct-98
b2189,w5344,,bridge of spies ,2015,40000000.0,165500000.0,3.1375,16-Oct-15
b2193,w5356,,bridget jones: the edge of reason ,2004,40000000.0,262500000.0,5.5625,12-Nov-04
b2208,w5390,,bring it on ,2000,11000000.0,90400000.0,7.218181818181818,25-Aug-00
b2210,w5400,,bringing down the house ,2003,33000000.0,164700000.0,3.9909090909090903,7-Mar-03
b2211,w5402,o2041,bringing out the dead,1999,32000000.0,16800000.0,-0.475,22-Oct-99
b2219,w5460,o18195,brokeback mountain,2005,14000000.0,178100000.0,11.721428571428573,9-Dec-05
b2220,w5462,o2042,brokedown palace,1999,25000000.0,10115013.0,-0.59539948,13-Aug-99
b2225,w5474,o1016,broken city,2013,35000000.0,34500000.0,-0.014285714285714284,18-Jan-13
b2239,w5529,o3682,brooklyn rules,2007,8000000.0,458232.0,-0.9427209999999999,11-May-07
b2240,w5531,o18617,brooklyn's finest,2009,17000000.0,36400000.0,1.1411764705882352,5-Mar-10
b2263,w5580,o9659,bruce almighty,2003,81000000.0,484600000.0,4.982716049382716,23-May-03
b2269,w5596,,bubble boy ,2001,13000000.0,5000000.0,-0.6153846153846154,24-Aug-01
b2273,w5629,o2476,bucky larson: born to be a star,2011,9000000.0,2500000.0,-0.7222222222222222,9-Sep-11
b2301,w5745,o9660,bulletproof monk,2003,52000000.0,37700000.0,-0.275,16-Apr-03
b2319,w5809,o16486,burn after reading,2008,37000000.0,163700000.0,3.4243243243243233,12-Sep-08
b2324,w5837,,burnt ,2015,20000000.0,36600000.0,0.83,30-Oct-15
b2358,w7148,,chips ,2017,25000000.0,24800000.0,-0.008,24-Mar-17
b2373,w6004,o16490,cadillac records,2008,12000000.0,8880045.0,-0.25999625,5-Dec-08
b2410,w6174,,camp x-ray ,2014,1000000.0,60581.0,-0.939419,17-Oct-14
b2421,w6203,o20638,canadian bacon,1995,11000000.0,178104.0,-0.9838087272727272,22-Sep-95
b2435,w6262,o18626,capitalism: a love story,2009,20000000.0,17400000.0,-0.13,23-Sep-09
b2437,w6265,,capote ,2005,7000000.0,49200000.0,6.0285714285714285,30-Sep-05
b2439,w6277,o5343,captain america: civil war,2016,250000000.0,1.153,-0.999999995388,6-May-16
b2440,w6278,o2478,captain america: the first avenger,2011,140000000.0,370600000.0,1.6471428571428572,22-Jul-11
b2441,w6279,o9928,captain america: the winter soldier,2014,170000000.0,714300000.0,3.2017647058823533,4-Apr-14
b2443,w6287,,captain corelli's mandolin ,2001,57000000.0,62112895.0,0.08969991228070176,17-Aug-01
b2448,w6314,,captain phillips ,2013,55000000.0,218800000.0,2.978181818181818,11-Oct-13
b2474,w6389,o19048,carlito's way,1993,30000000.0,63800000.0,1.1266666666666667,12-Nov-93
b2491,w6438,,carrie (2013 film),2013,30000000.0,85000000.0,1.8333333333333333,18-Oct-13
b2495,w6444,,cars ,2006,120000000.0,462200000.0,2.8516666666666666,9-Jun-06
b2496,w6445,o2480,cars 2,2011,200.0,562100000.0,2810499.0,24-Jun-11
b2509,w6471,o18627,case 39,2009,26000000.0,28200000.0,0.08461538461538462,1-Oct-10
b2522,w6522,o10595,cast away,2000,90000000.0,429600000.0,3.773333333333333,22-Dec-00
b2533,w6584,o16214,catch me if you can,2002,52000000.0,352100000.0,5.771153846153847,25-Dec-02
b2535,w6587,o21987,catch that kid,6-Feb,12000000.0,16900000.0,0.4083333333333333,6-Feb-04
b2546,w6602,o19980,cats & dogs,2001,60000000.0,200700000.0,2.345,4-Jul-01
b2547,w6604,o7947,cats & dogs: the revenge of kitty galore,2010,85000000.0,112500000.0,0.3235294117647059,30-Jul-10
b2551,w6622,,catwoman ,2004,100000000.0,82100000.0,-0.179,23-Jul-04
b2567,w6681,,cellular ,2004,25000000.0,56400000.0,1.256,10-Sep-04
b2589,w6714,,chain letter ,2010,3000000.0,585362.0,-0.8048793333333333,1-Oct-10
b2605,w6789,,changeling ,2008,55000000.0,113000000.0,1.0545454545454545,24-Oct-08
b2606,w6792,o16215,changing lanes,2002,45000000.0,94935764.0,1.1096836444444445,12-Apr-02
b2611,w6807,,chappie ,2015,49000000.0,102100000.0,1.083673469387755,6-Mar-15
b2629,w6864,o3690,charlie wilson's war,2007,75000000.0,119000000.0,0.5866666666666667,21-Dec-07
