title	link	key_bom	year_bom	year_bom_format
beneath the darkness	http://www.boxofficemojo.com/movies/?id=beneaththedarkness.htm	b1647	6-Jan-12	2012
beneath the harvest sky	http://www.boxofficemojo.com/movies/?id=beneaththeharvestsky.htm	b1648	25-Apr-14	2014
beneath the planet of the apes	http://www.boxofficemojo.com/movies/?id=beneaththeplanetoftheapes.htm	b1649	27-May-70	1970
benjamin smoke	http://www.boxofficemojo.com/movies/?id=benjaminsmoke.htm	b1650	21-Jul-00	2000
benji	http://www.boxofficemojo.com/movies/?id=benji.htm	b1651	25-Oct-74	1974
benji off the leash	http://www.boxofficemojo.com/movies/?id=benji04.htm	b1652	20-Aug-04	2004
benji the hunted	http://www.boxofficemojo.com/movies/?id=benjithehunted.htm	b1653	5-Jun-87	1987
benny and joon	http://www.boxofficemojo.com/movies/?id=bennyandjoon.htm	b1654	16-Apr-93	1993
bent	http://www.boxofficemojo.com/movies/?id=bent.htm	b1655	26-Nov-97	1997
beowulf	http://www.boxofficemojo.com/movies/?id=beowulf.htm	b1656	16-Nov-07	2007
beowulf &amp; grendel	http://www.boxofficemojo.com/movies/?id=beowulfandgrendel.htm	b1657	16-Jun-06	2006
berberian sound studio	http://www.boxofficemojo.com/movies/?id=berberiansoundstudio.htm	b1658	14-Jun-13	2013
bereavement	http://www.boxofficemojo.com/movies/?id=bereavement.htm	b1659	4-Mar-11	2011
berkeley	http://www.boxofficemojo.com/movies/?id=berkeley.htm	b1660	12-Oct-07	2007
