index,key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,release_date,release_month,release_quarter,release_day_of_the_year,release_week_of_the_year,holiday_season,runtime,mpaa_rating,wiki_editing,wiki_studio,actor,director,writer,distributor,composer,cinematographer,producer
4712,b12077,w37363,o11812,tapeheads,1988,10000000.0,343786.0,-0.9656214,1988-10-21 00:00:00,10.0,4.0,295.0,42.0,0.0,93.0,4.0,,[NBC Productions],"""['John Cusack', 'Tim Robbins']""",Bill Fishman,,Avenue Pict.,[Fishbone],[Bojan Bazelli],"""[Peter McCarthy, Michael Nesmith]"""
4713,b12078,w37366,,taps ,1981,14000000.0,35856053.0,1.5611466428571428,1981-12-09 00:00:00,12.0,4.0,343.0,49.0,0.0,126.0,2.0,,,"""['Tom Cruise', 'Sean Penn']""",,['Robert Mark Kamen'],Fox,[Maurice Jarre],,"""[Howard B. Jaffe, Stanley R. Jaffe]"""
4714,,w37373,,taras bulba (1962 film),,6000000.0,3400000.0,-0.43333333333333335,,,,,,,,,"""[Folmar Blangsted, Gene Milford, William Reynolds, Eda Warren]""",[Harold Hecht Productions],,,,,,,
4715,,w37375,,target (1985 film),,13000000.0,9023199.0,-0.30590776923076923,,,,,,,,,"""[Richard P. Cirincione, Stephen A. Rotter]""",[CBS Theatrical Films],,,,,,,
4716,b12081,w37385,,tarnation ,2004,218.32,1200000.0,5495.518871381459,2004-10-06 00:00:00,10.0,4.0,280.0,40.0,1.0,91.0,6.0,"""[Jonathan Caouette, Brian A. Kates]""",,,,,Wellspring,"""[John Califra, Max Avery Lichtenstein]""",[Jonathan Caouette],"""['John Cameron Mitchell', 'Gus Van Sant']"""
4717,,w37394,,tarzan (1999 film),,130000000.0,448200000.0,2.447692307692308,,,,,,,,,[Gregory Perler],,,,,,,,
4718,,w37403,,tarzan and the lost city ,,20000000.0,2172941.0,-0.89135295,,,,,,,,,[Harry Hitner],[Village Roadshow Pictures],,,,,,,
4719,,w37411,o22963,tarzan finds a son!,1939,898000.0,2088000.0,1.3251670378619154,2039-06-16 00:00:00,6.0,2.0,167.0,24.0,0.0,82.0,,"""[Gene Ruggiero, Frank Sullivan]""",,,,,,,,
4720,,w37417,,tarzan the ape man (1932 film),,652675.0,2540000.0,2.891676561841652,,,,,,,,,"""[Tom Held, Ben Lewis]""",,,,,,,,
4721,,w37431,o19841,tarzan's new york adventure,1942,707000.0,2729000.0,2.85997171145686,2042-05-01 00:00:00,5.0,2.0,121.0,17.0,0.0,71.0,,[Gene Ruggiero],[Metro-Goldwyn-Mayer],,,,,,,
4722,,w37452,,taxi (2004 film),,25000000.0,68900000.0,1.756,,,,,,,,,[Stuart Levy],"""[EuropaCorp, Robert Simonds Productions]""",,,,,,,
4723,b12098,w37455,o17757,taxi driver,1976,1300000.0,28300000.0,20.76923076923077,1976-02-07 00:00:00,2.0,1.0,38.0,5.0,0.0,113.0,4.0,"""[Tom Rolf, Melvin Shapiro, Marcia Lucas, (sup)]""","""[Bill/Phillips, Italo/Judeo Productions]""","""['Albert Brooks', 'Robert DeNiro', 'Jodie Foster']""",['Martin Scorsese'],['Paul Schrader'],Columbia,[Bernard Herrmann],['Michael Chapman'],"""[Julia Phillips, Michael Phillips]"""
4724,,w37465,,tea and sympathy ,,1737000.0,3445000.0,0.9833045480713876,,,,,,,,,[Ferris Webster],,,,,,,,
4725,,w37477,,teacher's pet (2004 film),,10000000.0,6500000.0,-0.35,,,,,,,,,,"""[Walt Disney Pictures, Disney Television Animation, Toon City]""",,,,,,,
4726,b12108,w37481,o2153,teaching mrs. tingle,1999,13000000.0,8900000.0,-0.3153846153846154,1999-08-20 00:00:00,8.0,3.0,232.0,33.0,0.0,96.0,3.0,[Debra Neil-Fisher],"""[Dimension Films, Konrad Pictures, Interscope Communications]""","""['Katie Holmes', 'Helen Mirren']""",Kevin Williamson,['Kevin Williamson'],Miramax,['John Frizzell'],[Jerzy Zielinski],"""['Ted Field', 'Cathy Konrad', 'Scott Kroopf']"""
4727,b12109,w37484,o22143,team america: world police,2004,32000000.0,52100000.0,0.628125,2004-10-15 00:00:00,10.0,4.0,289.0,41.0,1.0,98.0,4.0,[Thomas M. Vogt],[Scott Rudin Productions],Trey Parker|Matt Stone|Kristen Miller|Masasa Moyo,['Trey Parker'],"""['Pam Brady', 'Trey Parker', 'Matt Stone']""",Paramount,[],['Bill Pope'],"""['Scott Aversano', 'Scott Rudin']"""
4728,b12111,w37490,o9797,tears of the sun,7-Mar,75000000.0,86500000.0,0.15333333333333332,2003-03-07 00:00:00,3.0,1.0,66.0,9.0,0.0,,4.0,[Conrad Buff],"""[Revolution Studios, Cheyenne Enterprises]""","""['Monica Bellucci', 'Bruce Willis']""",['Antoine Fuqua'],,Sony (Revolution),['Hans Zimmer'],[Mauro Fiore],"""['Ian Bryce', 'Joe Roth', 'Cathy Schulman*']"""
4729,b12112,w37495,,ted ,2012,51000000.0,549400000.0,9.772549019607844,2012-06-29 00:00:00,6.0,2.0,181.0,26.0,1.0,106.0,4.0,[Jeff Freeman],,"""['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane', 'Joel McHale', 'Giovanni Ribisi', 'Patrick Warburton*', 'Patrick Stewart*']""",['Seth MacFarlane'],"""['Seth MacFarlane', 'Alec Sulkin', 'Wellesley Wild']""",Universal,['Walter Murphy'],[Michael Barrett],"""['Jason Clark', 'John Jacobs', 'Seth MacFarlane', 'Scott Stuber', 'Wellesley Wild']"""
