,Domestic,Foreign,Total Lifetime Gross,Worldwide,Link,Name
16215,,,No Total Lifetime Gross Information,,http://www.boxofficemojo.com/movies/?id=waterloobridge40.htm,Waterloo Bridge (1940)
16216,"$84,464",,,,http://www.boxofficemojo.com/movies/?id=watermark.htm,Watermark
16217,"$246,094",,,,http://www.boxofficemojo.com/movies/?id=watermarks.htm,Watermarks
16218,"$88,246,220","$175,972,000",,"$264,218,220",http://www.boxofficemojo.com/movies/?id=waterworld.htm,Waterworld
16219,"$16,000",,,,http://www.boxofficemojo.com/movies/?id=wattstax.htm,Wattstax: The Special Edition
16220,"$808,114",,,,http://www.boxofficemojo.com/movies/?id=waxwork.htm,Waxwork
16221,"$48,333",,,,http://www.boxofficemojo.com/movies/?id=waydowntown.htm,Way Down Town
16222,"$121,697,323","$61,400,000",,"$183,097,323",http://www.boxofficemojo.com/movies/?id=waynesworld.htm,Wayne's World
16223,"$48,197,805",,,,http://www.boxofficemojo.com/movies/?id=waynesworld2.htm,Wayne's World 2
16224,"$1,124,045",n/a,,"$1,124,045",http://www.boxofficemojo.com/movies/?id=wazir.htm,Wazir
16225,"$638,144","$392,926",,"$1,031,070",http://www.boxofficemojo.com/movies/?id=wearefamily.htm,We Are Family
16226,"$43,545,364",n/a,,"$43,545,364",http://www.boxofficemojo.com/movies/?id=wearemarshall.htm,We Are Marshall
16227,"$180,590",n/a,,"$180,590",http://www.boxofficemojo.com/movies/?id=wearethebest.htm,We Are The Best!
16228,"$8,277",,,,http://www.boxofficemojo.com/movies/?id=wearetwistedfingsiste!.htm,We Are Twisted F***ing Sister!
16229,"$81,381",n/a,,"$81,381",http://www.boxofficemojo.com/movies/?id=wearewhatweare.htm,We Are What We Are
16230,"$45,270",n/a,,"$45,270",http://www.boxofficemojo.com/movies/?id=wearex.htm,We Are X
16231,"$3,591,417","$7,530,673",,"$11,122,090",http://www.boxofficemojo.com/movies/?id=weareyourfriends.htm,We Are Your Friends
16232,"$1,088",,,,http://www.boxofficemojo.com/movies/?id=wearethegiant.htm,We Are the Giant
16233,"$75,624,550","$44,457,291",,"$120,081,841",http://www.boxofficemojo.com/movies/?id=weboughtazoo.htm,We Bought a Zoo
16234,"$50,921",,,,http://www.boxofficemojo.com/movies/?id=wecomeasfriends.htm,We Come As Friends
16235,"$2,041,014","$1,320,199",,"$3,361,213",http://www.boxofficemojo.com/movies/?id=wedontlivehereanymore.htm,We Don't Live Here Anymore
16236,"$6,529",,,,http://www.boxofficemojo.com/movies/?id=wegowayback.htm,We Go Way Back
16237,"$548,115","$15,609,760",,"$16,157,875",http://www.boxofficemojo.com/movies/?id=wehaveapope.htm,We Have a Pope
16238,"$41,711",,,,http://www.boxofficemojo.com/movies/?id=weliveinpublic.htm,We Live in Public
16239,"$1,738,692","$4,300,250",,"$6,038,942",http://www.boxofficemojo.com/movies/?id=weneedtotalkaboutkevin.htm,We Need to Talk About Kevin
16240,"$28,563,179","$26,363,707",,"$54,926,886",http://www.boxofficemojo.com/movies/?id=weownthenight.htm,We Own the Night
16241,"$166,243",n/a,,"$166,243",http://www.boxofficemojo.com/movies/?id=westealsecrets.htm,We Steal Secrets: The Story of Wikileaks
16242,"$20,998",,,,http://www.boxofficemojo.com/movies/?id=wethinktheworldofyou.htm,We Think the World of You
16243,,,No Total Lifetime Gross Information,,http://www.boxofficemojo.com/movies/?id=wewerehere.htm,We Were Here
16244,"$78,122,718","$36,538,066",,"$114,660,784",http://www.boxofficemojo.com/movies/?id=weweresoldiers.htm,We Were Soldiers
