key_bom,key_wiki,key_omdb,title,year,budget,gross,revenue,year_wiki,year_bom
b1285,w2359,,autumn in new york ,2000,65000000.0,90726668.0,0.3957948923076923,"""[2000, 11]""",11-Aug-00
b1289,w2375,o8827,avengers: age of ultron,2015,250000000.0,1405403694.0,4.621614776,2015,1-May-15
b1294,w2393,,awake ,2007,8600000.0,32685679.0,2.800660348837209,"""[2007, 11, 30]""",30-Nov-07
b1297,w2401,o18583,away we go,2009,17000000.0,14899417.0,-0.12356370588235295,2009,5-Jun-09
b1327,w2461,,baby boy ,2001,16000000.0,29381649.0,0.8363530625,"""[2001, 29]""",27-Jun-01
b1331,w2476,o2030,baby geniuses,1999,12000000.0,36450736.0,2.037561333333333,1999,12-Mar-99
b1332,w2481,,baby mama ,2008,30000000.0,64163648.0,1.1387882666666669,"""[2008, 04, 25]""",25-Apr-08
b1333,w2496,o2258,baby's day out,1994,48000000.0,16827402.0,-0.649429125,1994,1-Jul-94
b1336,w2501,o16455,babylon a.d.,yes,70000000.0,72108608.0,0.03012297142857143,yes,29-Aug-08
b1348,w2567,o21329,back to the future,1985,19000000.0,381109762.0,19.05840852631579,1985,3-Jul-85
b1350,w2568,o15816,back to the future part ii,1989,40000000.0,331950002.0,7.29875005,1989,22-Nov-89
b1351,w2569,o14969,back to the future part iii,1990,40000000.0,244527583.0,5.113189575,1990,25-May-90
b1368,w2613,o9636,bad boys ii,2003,130000000.0,273339556.0,1.1026119692307692,2003,18-Jul-03
b1381,w2643,o18585,bad lieutenant: port of call new orleans,2009,25000000.0,10589102.0,-0.57643592,2009,20-Nov-09
b1387,w2658,o18179,bad news bears,2005,35000000.0,34252847.0,-0.02134722857142857,2005,22-Jul-05
b1388,w2666,o9637,bad santa,2003,23000000.0,76488889.0,2.3256038695652173,2003,26-Nov-03
b1389,w2667,o5324,bad santa 2,2016,26000000.0,17782178.0,-0.3160700769230769,2016,23-Nov-16
b1390,w2670,o2451,bad teacher,2011,20000000.0,216197492.0,9.8098746,2011,24-Jun-11
b1413,w2727,o16195,ballistic: ecks vs. sever,20-Sep,70000000.0,19924033.0,-0.7153709571428571,20-Sep,20-Sep-02
b1430,w2750,,bananas ,1971,2000000.0,11800000.0,4.9,"""[1971, 04, 28]""",28-Apr-71
b1447,w2787,,bangkok dangerous (2008 film),2008,45000000.0,42487390.0,-0.055835777777777776,[2008],5-Sep-08
b1461,w2844,o21960,barbershop 2: back in business,2004,30000000.0,65971313.0,1.199043766666667,2004,6-Feb-04
b1479,w2947,o7453,basic instinct,1992,49000000.0,352927224.0,6.2025964081632665,1992,20-Mar-92
b1488,w2984,o18185,batman begins,2005,150000000.0,374218673.0,1.4947911533333331,2005,15-Jun-05
b1490,w2987,o20626,batman forever,1995,100000000.0,336529144.0,2.36529144,1995,16-Jun-95
b1491,w2988,o7454,batman returns,1992,80000000.0,266822354.0,2.335279425,1992,19-Jun-92
b1493,w2990,o5327,batman v superman: dawn of justice,2016,250000000.0,873260194.0,2.493040776,2016,25-Mar-16
b1496,w3002,,bats ,1999,5250000.0,10155690.0,0.9344171428571428,"""[1999, 10, 22]""",22-Oct-99
b1497,w3011,o3046,battle beyond the stars,1980,2000000.0,7500000.0,2.75,1980,1980
b1509,w3021,o2454,battle: los angeles,2011,70000000.0,211819354.0,2.0259907714285714,2011,11-Mar-11
b1511,w3055,,battlefield earth ,2000,73000000.0,29725663.0,-0.5927991369863014,"""[2000, 05, 12]""",12-May-00
b1516,w3077,o18186,be cool,2005,53000000.0,95226116.0,0.7967191698113207,2005,4-Mar-05
b1529,w3140,,beastly ,2011,17000000.0,43165571.0,1.5391512352941177,"""[2011, 03, 04]""",4-Mar-11
b1542,w3185,,beautiful creatures (2013 film),2013,60000000.0,60052138.0,0.0008689666666666666,"""[2013, 01, 19, Moscow, 2013, 02, 14, United States]""",14-Feb-13
