omdb_movie_id,genres,cluster
998,Romance|Comedy,5
999,Comedy,5
1000,Comedy,5
1001,Thriller|Horror,6
1002,Comedy|Horror,6
1003,Thriller|Crime|Drama,2
1004,Drama,2
1005,Horror,6
1006,Horror|Action|Adventure,0
1007,Romance|Drama,2
1008,Comedy|Sci-Fi|Action,5
1009,Comedy,5
1010,Horror|Action|Comedy,6
1011,Crime|Drama|Action,2
1012,Biography|Crime|Drama,2
1013,Drama,2
1014,Drama,2
1015,Thriller|Crime|Drama,2
1016,Comedy,5
1017,Crime|Drama|Thriller,2
1018,Comedy|Drama,2
1019,Short|Comedy,3
1020,Short|Comedy|Fantasy,3
1021,Romance|Comedy|Drama,2
1022,Drama|History|Documentary,4
1023,Comedy|Horror,6
1024,Sport|Drama,2
1025,Comedy|Animation,5
1026,Drama|Documentary,4
1027,Documentary|Comedy,4
1028,Comedy|Animation|Adventure,5
1029,Drama|Thriller|Crime,2
1030,Comedy|Drama|Romance,2
1031,Documentary|Short,4
1032,Horror|Thriller,6
1033,Documentary|Biography,4
1034,Drama|Biography,2
1035,Biography|Documentary,4
1036,Sci-Fi|Horror,6
1037,Horror|Adventure,6
1038,Drama|Action|Crime,2
1039,Fantasy|Horror|Action,6
1040,Drama,2
1041,Drama|Documentary|Adventure,4
1042,Adventure|Comedy|Animation,5
1043,Horror|Thriller,6
1044,Animation|Action|Adventure,0
1045,Drama|Documentary|Crime,2
1046,Drama|Action,2
1047,Romance|Comedy|Drama,2
1048,Mystery|Drama,2
1049,Fantasy|Action,0
1050,Biography|Documentary,4
1051,Romance|Comedy|Drama,2
1052,Documentary,4
1053,Comedy|Animation|Adventure,5
1054,Horror|Drama|Fantasy,6
1055,Comedy,5
1056,Comedy|Drama,2
1057,Thriller|Action|Crime,0
1058,Thriller|Drama|Fantasy,2
1059,Biography|History|Documentary,4
1060,Documentary|Biography|Music,4
1061,Comedy|Drama,2
1062,Mystery|Documentary|Biography,4
1063,Music|Romance|Drama,2
1064,Crime|Action,0
1065,Thriller,6
1066,History|Documentary|Drama,4
1067,Thriller,6
1068,Documentary,4
1069,Horror,6
1070,Adventure|Comedy|Animation,5
1071,Romance|Biography|Drama,2
1072,Sci-Fi|Action|Adventure,0
1073,Documentary,4
1074,Sport|Documentary|Drama,4
1075,Comedy|Animation|Short,3
1076,Horror|Comedy,6
1077,Documentary,4
1078,Documentary,4
1079,Drama|Comedy,2
1080,Drama|Music,2
1081,Horror,6
1082,Comedy|Drama|Short,3
1083,Comedy,5
1084,Comedy,5
1085,Horror|Comedy,6
